//X,Y,Z,Scalar field
473984.69000244,5370965.84997559,109.37999725,1.000000
473984.19000244,5370966.19000244,108.94000244,1.000000
473983.69999695,5370966.52001953,108.52999878,1.000000
473983.52999878,5370966.83001709,110.08999634,1.000000
473983.00000000,5370967.16998291,109.50000000,1.000000
473982.57000732,5370967.50000000,109.44000244,1.000000
473982.10000610,5370967.83001709,109.15000153,1.000000
473981.83000183,5370968.15997314,110.12000275,1.000000
473981.47999573,5370968.47998047,110.56999969,1.000000
473981.02000427,5370968.79998779,110.31999969,1.000000
473980.33999634,5370969.15002441,108.72000122,1.000000
473979.92999268,5370969.46997070,108.76000214,1.000000
473979.41999817,5370969.79998779,108.23999786,1.000000
473979.00000000,5370970.11999512,108.20999908,1.000000
473978.69999695,5370970.42999268,108.80000305,1.000000
473978.19000244,5370970.76000977,108.25000000,1.000000
473977.67999268,5370971.08001709,107.66999817,1.000000
473977.27999878,5370971.40002441,107.76000214,1.000000
473976.80999756,5370971.72998047,107.43000031,1.000000
473976.11000061,5370972.08001709,105.81999969,1.000000
473975.69000244,5370972.40002441,105.77999878,1.000000
473975.27000427,5370972.71997070,105.75000000,1.000000
473975.55000305,5370972.97998047,109.79000092,1.000000
473975.17999268,5370973.30999756,110.09999847,1.000000
473974.47999573,5370973.65997314,108.51000214,1.000000
473974.16999817,5370973.96997070,109.13999939,1.000000
473972.22999573,5370974.15997314,105.26999664,1.000000
473972.88999939,5370973.82000732,106.80000305,1.000000
473973.33000183,5370973.50000000,106.98999786,1.000000
473973.69999695,5370973.19000244,106.77999878,1.000000
473974.17999268,5370972.86999512,107.33000183,1.000000
473974.57000732,5370972.55999756,107.23000336,1.000000
473974.80000305,5370972.26000977,106.23999786,1.000000
473975.11999512,5370971.96002197,105.81999969,1.000000
473975.49000549,5370971.65002441,105.62999725,1.000000
473975.89999390,5370971.33001709,105.68000031,1.000000
473976.30999756,5370971.02001953,105.72000122,1.000000
473977.13000488,5370970.66998291,108.16000366,1.000000
473977.55000305,5370970.35998535,108.30999756,1.000000
473978.11999512,5370970.03002930,109.33000183,1.000000
473977.60000610,5370970.07000732,106.25000000,1.000000
473978.41000366,5370969.72998047,108.69000244,1.000000
473978.83000183,5370969.41998291,108.76000214,1.000000
473979.28999329,5370969.09002686,109.13999939,1.000000
473979.66999817,5370968.78002930,108.94000244,1.000000
